First Name,Middle Name,Last Name
LEONARD HOPE,RUBIO,LABIAL
JOSEPH,,PANES
PERFECTO,JAVAR,PANES
BEDA BONGA,,HAMOY
MELITON,MACALIHIS,BANSALAO
ERNESTO,PEDROSO,PANES
CENESIO,SORRONDA,HAMOY
NONILON,SABANG,BANDOL
CARINA,RECTO,CUASAY
GERALD ANTHONY,,BANGOY
SATURNINO,,BANGBANG
AZIZ,AKIN,HAMJA
TREGIDIO,,BANGCASAN
CESAR,TAPPA,BANGAYAN
PAULO,,BANGASIN
RODERICK EMMANUEL,REDUQUE,MINA
SAMSON,LIGUDEN,BANGAOIL
ALEJO,,BANGAOIL
LIBRES,,BANGAOAN
SAPURA,,HAMJA
ELADIO,HINALONG,BANG-UD
ERVIN,,BANG-AO
LUCENDA,CABRERA,CUBILLAN
VENANCIO,,BANEZ
ALINAIR NATHANGCOP,,PANGANDAMAN
ARQUILAO,,BANDOQUILLO
JUAN EUSEBIO,,MINA
RAUL ROMAR,TARUC,CUBILLAN
MARILYN,ANTONI,CUBILLA
REDENTOR,SABALBORO,HALILI
SERVILLANO,MONTEJO,BALITAAN
TARCICIO,,HALILI
JOSELITO,MAPA,BALLARET
IRENEO,,LACEA
HERMOGENES,SAGARJO,BALISADO
ALBERTO I,UY,BALIOTA
DANILO,,MONTEHERMOSO
REY,PADRIGONE,LACOSTE
GASPAR,,BALINGGAO
FLORDELIZ,CINCHES,CURIBA
SAWAB,JALIL,PANGOLIMA
TONGCO,MANDI,PANGOLIMA
EDITHA,RODRIGUEZ,MILLARES
FELIPE,DELFIN,LACSAMA
NORMELITA,LUZANO,CURIOSO
MARIO,AGUSTIN,LACSAMANA
ROGELIO,HINTAY,PANGILINAN
DOMINGO,HANDUGAN,CURIT
SOBAIR,,BALINDONG
NORAISA,,BALINDONG
ALINADER,MARIAM,BALINDONG
ABDULLAH,,BALINDONG
LUCILA,,CURSO
EVAVIL,DEQUILLA,OLOWAN
VICENTE,VILLACRUSIS,CURSO
ALFREDO,,BALINGIT
CORNELIO,ARCEGA,BALINGIT
WILSON,UY,BALINGIT
LAURO,TINOSA,CURATO
ALBERTO,UY,BALIOTA
CYRUS,SELIM,OLPOC
ABELARDO,SANCHEZ,PANGILINAN
BOLAWAN,,HALI
ESPERANZA,,BALITA
ABDUN,MALIKI,BALLA
CASIANO,GARCES,CUNANAN
PATRICIO,ADAME,BALISTOY
APOLINARIA,HANGAD,BALISTOY
ANTONIO,,BALISTA
ROCKY THOMAS,ASPILAN,BALISONG
NESTOR,RAMOS,LACERNA
FE,,OLVIDO
VICTORIA,QUIOAN,BALISI
CECILIA,NUNAG,CUNANAN
DOMINGA,PAUNIL,MILLENA
CIPRIANO,LEGASPI,LACHICA
LYNDON,AZUSADA,CUNANAN
GEORGE,SANCHEZ,PANGILINAN
ALAN,,BALITOR
ERNESTO,NG,CUNANAN
AURORA,JAVA,BALLA
REYNALD,MAGLAJOS,LACEA
DIOSDADO,BEROÑA,BALLERAS
SALAMADDIN,ASSALAY,HALILUDDIN
GABRIEL,VARGAS,BALLENER
NESTOR,,CUMLAT
ERNESTO,ELORETA,BALLEBAR
ERNESTO,CAPARIDA,OLVIGA
JUAN MIGUEL,,CUNA
CHRISTIAN,CASTRO,HALILI
MOHAMMAD,AMIN,PANGGO
EMMANUEL,,CUNADA
ERNESTO,,CUNADA
DAVID,SIWALEN,BALLANG
NICANOR,,BALLAN
ROBERTO,MARCA,CUNAMAY
LAZARO,ANONUEVO,BALLESTA
SANSARONA,DIMA,BANSIL
EUFRONIO,,OMILA
GERONIMO,,BARTE
ANTONIO,,LABARO
RONALD,EVANGELISTA,CRUZAT
ALETHEA,MALICDEM,BARAAN
BASIR,USAK,BARA
JESSIE,SALUTAN,PANDIAN
WILFREDO,ANDRADE,LABARO
ANGEL,CASTILLO,CRUZAT
AKMID,LIGADDONG,BARA
OTING HADJI,RACMAN,BARA
ABDULFATACH,POROWA,BARA
DAYAH,MARANDAKAN,BARA
RIDWAN,,OMAR
QUINTO,COMETA,BARANDA
ROGER,,BARANDIA
JOHN,,BARACEROS
SANTIAGO,,LABANEN
EDMUNDO,,PANDATO
ESTEBAN,,HANDAYAN
MARIO,UMAYAM,PANDE
FLORENTINA,,PANDE
ALEX,NAIN,HANDANG
RAUL,CUENCA,BARBASO
RAMON,FERNANDEZ,BARBA
SANTIAGO,,BARBA
EDMUNDO,MAGDARAOG,LABALAN
ROGELIO,LICYAYO,MINAS
JOHNYREI,,PANDELING
HERMOGENES,,HAN-AWON
EUGENIO ANGELO,SUR,BARBA
JESUS,CRUZ,CRUZ
ARVIN,MANUEL,BARANGAN
ROLAND O,CRUZ,CRUZ
VINCENT FRITZ,,CRUZ-AM
RODEL,RIOFLORIDO,CRUZADO
VICENTE,BENWISAN,KITONGAN
EMILIO,TAYA-AN,KITONGAN
RENATO,ROSARIO,BARTOLOME
JAIME,NERMAL,BASA
USAFRE,SOLIS,BASA
MELY,BLANCO,BASA
ROWAN,,BASA
JOSEFINA,TARAY,OMONDANG
EVANGELINE,STEWART,KITONG
ARCEL,BERSABE,BAS
JESUS,BENIG,BAS
EDWIN,BASA,CRISOLOGO
MARCEL,SALAZAR,PAN
ARTURO,ALICANTE,BAS
NORMA,,LABAO
QUIRINO,,PANA
ESTEBAN,,OMOL
RICARDO,VALENCIA,BARUIZ
AVELARD IBARRA,FRANCO,CRISOSTOMO
MATEO,FLORA,BARUC
ANSARI,,BARUANG
JERRY,LOMOSAD,KITONG
DA VINCI,MANUEL,CRISOSTOMO
ELPIDIO,FRANI,BARZAGA
SILVINO,VILLASAN,PANER
PERFECTO,CUADERNO,CRUZ
ADELWISA,VALE,CRUZ
ISRAEL,SANTOS,CRUZADO
JESUS,ABELLA,BARANDA
EMMANUEL,,LABANTA
EVANGELINA,,OMOLE
REYNALDO,,CRISOSTOMO
JEROME,PEDROZO,BARAQUIO
LORETO,,HAMTO
THELMA,PAQUINGAN,BANZON
MICHAEL,,CUA
MELANIO,SANCHEZ,BANZON
DANIEL,LABOG,BANZON
MARJORIE,,BAQUIRAN
JAMAR,,OMAR
PEDRO,DINGCOG,BANYAGA
DAKILA CARLO,ENRIQUEZ,CUA
JOHNNY,,MINAS
JUNIE,EVANGELISTA,CUA
CEASAR,CASERES,BANUAG
AHMAD,ROSALES,OMAR
REYNALDO,SALONOY,BANUA
JAIME,MANALO,BANZUELA
MELECIO,,PANDOY
JOVY,ZABALA,BANZON
JULIENNE,LINAOGO,BARONDA
ROBERT ACE,SMITH,BARBERS
GADWIN,ESTABAS,HANDUMON
JULIETO,TANGKAY,KWAN
EFREN,JARING,CRUZ
LOURDES,,BARIS
ANNALIZA,GONZALES,KWAN
DEMETRIO,,BARIQUIT
