First Name,Middle Name,Last Name
MERIAM,LASTA,PAYLAGA
DENVERT,,ANDRES
JELLY,,LAYSON
ENRIQUE,,DE LA CRUZ
APOLONIO,VARQUEZ,LAYUGAN
HERNANDO,YU,LAYNO
BENTHAM,PARTOSA,DE LA CRUZ
FLORENTINO,,ANERO
EDUARDO,,GUITELEN
TEODORO,CUELLO,ANGALA
CALIL,,ANGAD
ORLANDO,FORROSUELO,LAYESE
REYNALDO,SIO,ANG RABANES
PEDRO,ADARO,ANG
BERNARDITO,CHUA,ANG
JUANITA,,DE LA CRUZ
LEO,,PAY-ONG
SONNY ESPIRITU,,DE LA CRUZ
FLORANTE,GUIANAN,DE LA CRUZ
GIRLIE,BANAYOS,LAYLAY
GREGORIO,,PAYAD
MA. TERESA,,DE LA CRUZ
MILDRED,,ARBAN
NICANOR,,PASTRANO
LOWEL,TUANDO,ARBAN
SIMPLICIO,AGONIA,LATASA
EILEEN,ALCOBER,APURILLO
JESUS,NOJAPA,PATETE
DANILO,LUNA,DE GUZMAN
DANTE,MANZANO,DE GUZMAN
EFREN,SANTIAGO,DE GUZMAN
ARSENIO,AGONIA,LATASA
EPIFANIO,,DE GUZMAN
CIRILO,PERDIGUEZ,APUDA
VICKY,TIANGSON,DE GUZMAN
JESUS,BARTOLO,DE GUZMAN
RONALD,ILAO,APRITADO
WILSON,VIADO,DE GUZMAN
DEL,REYES,DE GUZMAN
LINO,CALIMLIM,DE GUZMAN
LEO,,LATAQUIN
ROCIL,,LATANAFRANCIA
RUPERTO,SOTTO,DE GUZMAN
DARLY JOHN,GUZON,APUYOD
RODRIGO,,AQUINO
SOCARNO,,AQUINO
BIENVINIDO,,LAT
EDUARDO,RETARDO,GULLAS
NENITO,FACUNDO,AQUINO
NILDA,BARRIENTOS,AQUINO
HORACIO,TIMOLA,AQUINO
MARISSA,,AQUINO
WILLIAM,ABALDE,APOSTOL
SATURNINO,SAY-AO,PATI
OSCAR,VILLASIN,DE GUZMAN
MARIA ANNABELLE,SANDOVAL,DE GUZMAN
GREGORIO,NOBLE,DE GUZMAN
PEDRITO,,ARBOLERAS
PAUL,SIONG,LARGO
JOSE,NUÑEZ,ARCANGEL
GLECERIA,,MIASCO
HAROLD,PASCUAL,OLALIA
BERNARD,,ARCAY
HENRY,ARADA,LARCIA
FRED,MOSTAJO,ARCENIO
GERONIMO,,ARCENAS
VENTURA,,GUMARAC
LENY,ALTICHE,ARCENAS
TECHIE,,GUMAPOS
SERGIO,,DAYAO
ANNA,BARRIO,DAYAO
ROLAND,PEREZ,MESINA
VICTOR,,ARCENAL
RUBEN,MALANDIAY,GUMAPIT
JESUS,,ARCELLANA
LORETO,,ARCEGA
ROSARIO,POSO,LAREDO
JOSE,BERMEO,LAREZA
PUREZA,REMOLLO,ARCE
ALFREDO,MANGALINDAN,ARCE
ALADINO,,ARCAYA
ALMA,,DAYO
ISAIAS,CLEMEÑA,ARCAY
ARTEMIO,,ARCENA
ROGELIO,,DE LA PENA
RUDY RICK,BARILA,PATALINGHUG
JOEL,,ARANA
ARIEL,SANTOS,ARCEO
DENIS,PIGGANGAY,GUMANGAN
BONIFACIO,ALVARADO,PATENTES
MAURO,VILLANUEVA,MESINA
BARTOLOME,BELARMINO,LATAZA
BRYAN,,LATEO
ARSENIO,BAYSIC,DE GUZMAN
LEO,,DE GUZMAN
RAUL,CARANTO,DE GUZMAN
ALEX,LOZADA,DE GUZMAN
DANTE,LAUDE,APOSTOL
SALVADOR,BAUA,APOSTOL
NAPOLEON,MORALES,APOSTOL
JOHN,,LATIP
JOHN PAUL,GARCIA,APOSTOL
ABDULJALAL,,LATIP
MUHAIMIN,,LATIP
TERESITA,AGUIRRE,PATIAG
MERCADO,,DE GUZMAN
VICENTE,CALIWANAGAN,APORDO
REYNALDO,,APOR
ISABELO,,APOR
ANLIE,GO,APOSTOL
ROMEO,,ARANA
RICARDO,BUENAVENTURA,AQUINO
DEMOCRITO,VALENCIA,AQUINO
CATALINO,ESCALONA,ARAGO
RAVELO,TUVALLES,GULMATICO
GRACIANO,,ARAFOL
MONICA,,LASALA
WILSON,BURLING,PATARLAS
MODESTO,,ARADANAS
GODOFREDO,PANDONG,OKIT
JANE,ZAMORA,APOSTADERO
ERNESTO,LANTANO,DE GUZMAN
EMELITA,CRUZ,MESARIO
NILO,,GULFO
LEONCIO,,AQUILLO
LEONARDO,,PATES
ARIEL,GARCIA,DE GUZMAN
MARCIAL,LIMATOC,AQUI
ALBERTO,,PATES
WINIFREDO,,GULINAO
ALEJANDRO,,PATENO
RENATO,ESPIRITU,AQUINO
CONRADO,MUNCAL,DE GUZMAN
DAVE,ALIPIT,GULIAN
SOFIA,DELGADO,APOLINARIO
CLIFFORD,LAGADAN,PATIL-AO
ERNESTO,GAJANA,PATILAN
EDEN,SANGON,APOLINAR
WELDIE,CONTRERAS,APOLINARIO
JHUNIE,PAQUIDING,APOLE
ROMULO,LUCERO,LATOG
LINDA,,APITA
BONIE,IGNACIO,APILADO
NORJAN,,APIL
ENRIQUE,MORALDE,GULFAN
BRENDA,,LATOJA
FREDDIE,,GULENG
JERRY,,GULAYAN
RUFINO,GAYAGAY,APIL
REYNATO,RAPANAN,LATORRE
RIMANDO,,GULATERA
JOY FLOYD,,APEROCHO
MELBEN,MONTOJO,MESANA
ANITA,,OGRIMEN
NONIE,,LATOG
EMMANUEL,DATIG,ARBOSO
SALACNIB,CACHO,PASTOR
EPHER,PUTIS,ARBOTANTE
ALEX,MARASIGAN,ARANAS
CLAUDIO,ALVAREZ,LARRAZABAL
LEONIDES,,ARANAS
NIXON,REALUBIT,ARANAS
MERIAM,,ARANAS
RUFINO,,ARANAS
REY,DINGLASA,ARANAS
DATU-ALI,,GUMACAP
GINA,ALICAYA,PATALINGHUG
CELSO,PARRA,DE CASTRO
RODNEY,LEDESMA,OLA
TIRSO,CASCON,GUMAHIN
EMMANUEL,ISULAT,ARANDA
DANTE,REONISTO,ARANDIA
ESTERLITA,,ARANAS
KENNEDY,,LAROZA
VICENTE,,DE ASIS
RODELO,,LAROZA
RENATO,,PATACSIL
ROLANDO,MANDAC,LARRACAS
VICENTE,CORONADO,ARANILLA
SAPRA,MANGOTARA,GUMAMA
ALBERTO,ESCABARTE,ARANGOSO
MARISA,JAAFAR,PATA
EDITHA,FERNIZ,ARANGCON
ALEJANDRITO,,LARRAGA
RUBEN,MAYCACAYAN,PATAG
JORGE,ARANETA,ARANETA
NUEVAS,TIROL,MONTES
NICK,,MONTES
PELAGIO,,ARANO
BRIGIDO,PONTIGA,ARANETA
TERESITA,MIMIS,ARANCES
ROLANDO,,DE CASTRO
LOUISITO,,OLAES
ISAIAS,B.,ARBOLEDA
LEILA,MEDINA,ARBOLEDA
TEODORO,,ARBOLADURA
MA. FE,JUAN,PASTORAL
VINCENT E,TAYKO,ARBOLADO
DODGIE,,PASTRANA
ATANASIO,TOMACRUZ,DAYRIT
CID,ASPILLA,DAYRIT
SOLOMON,LIBATO,LARIDA
CECILIA,VELUZ,DE ASIS
INDIRA,PADOLINA,DAYUPAY
PAUL,RUIZ,DAZA
DALMA,ALAY,ARBISON
EDGARDO,MIRASOL,ARANCILLO
ABDURAHMAN,KAHIL,ARBISON
RAUL,,DAZA
JOSE,FRANCISCO,MIANE
ALBERTINE,,ARBATIN
RODRIGO,CALUMPIANO,ARBAS
IGMEDIO,ANGALA,LARIOZA
DANIEL,,LARIDA
CLEMENTE,BLANCO,ARBOLEDA
RICARDO,FUENTES,ARAQUE
ESTRELLA,DOLOGUIN,ARAO
FELIXFIFACION,FULINARA,ARANDA
ANTONIO,ABRIHAN,ARANDA
ANTONIO LUIS,BERNARDO,DE BORJA
DOMINADOR,,GUMAHAD
MARIO,ABELINDE,DE CASTRO
ABDULMUNIR,,ARBISON
JACINTO,SUMAGAYSAY,ARANETA
ALEJANDRO,DELAGENTE,ARANETA
WARLITO,APONTE,ARANETA
GILBERT,OPINA,ARDIVILLA
AL-TREKEE,,DAYAN
NAPOLEON,VILLANUEVA,ARCEO
ENGRACIO,VILLACORTA,DAYANAN
TOMAS,ASAYTUNO,ARDALES
CHERRY,COLON,DAYANDAYAN
SAMUEL,CASTILLO,DAYANGHIRANG
JOHN,ARIOLA,ARCOSA
MARGIE,ANTIPUESTO,ARCITE
EDGAR,,LARA
JOHN RODNEY,VENTENILLA,ARCINUE
WILLY,GALATIC,PASNGADAN
PETER SIMON,,LARA
JOSE,GONZALES,MICHELENA
FRANCISCO,BACANE,AREGLO
DEXTER,,DAYPUYART
FRANKLIN,GUZMAN,DAYAO
ALWYN,YADAO,DAYOAN
VENZENCIO,BUHION,ARCAMO
ROMEL,PABLO,DAYOAN
TERESITO,LUCOB,LARGO
FE,TAN,ARCALES
BENEFREDA,CUA,ARCALES
DOMECIANA,,DAYOHA
LUCAS,,ARCALA
ALIPIO,NATIVIDAD,PASTOR
RICARDO,PAPA,LARGO
ERLINDO,,DAYON
JOSE,VECENCIO,MONTES
EMMELLY,DULA,OLAJE
ARNEL REGINO,TOLENTINO,ARCEO
MARIANO,,LARA
VIOLETA,,DAYAG
VIRGILIO,CALIP,PASION
RODRIGO,CALUBAQUIB,DE ASIS
HELEN,CHENG,DE CASTRO
FERDINAND,,OLAEZ
ROLAND,MERANO,LARGUEZA
CATALINO,,LARAGA
DANTE,,ARCILLA
ZALDY,NACHOR,ARCILLA
AVELINO,,ARCILLA
MARIA RUBY,VALDEZ,ARCILLA
MARIA THERESA,LUTRANIA,LARANANG
MANUEL,LAGUNERO,LARANANG
FELIPE,SANTOS,ARCIGAL
ISAGANI,COREA,ARCIGA
FLORENCIO,,LARANO
NESTOR,DIONSON,ARCHIVAL
ANTERO MANOLO,,DAYANGHIRANG
NELSON,RESTOR,DAYANGHIRANG
ROBERT,,PASION
RIZALDY,NALDO,GUMBA
ARNULFO,REBANO,ARELLANO
REYNALDO,LECHONCITO,DAYANGHIRANG
ROBERT,,LARA
ROLANDO,BANTIGUE,MONTEROYO
NAPOLEON,DECIAR,MESA
LEON,CATINDIG,ARCILLAS
LUCAS,NAGUIT,ARCEO
SAMUEL,TAYO,GUMARIN
DANILO,CASTILLO,DAYANGHIRANG
ALEXANDER RICHARD ROMMEL,BILLONES,ARCHES
PETER MELCHOR,JOCSON,ARCHES
EDILBERTO,,PASTELERO
AVELINO,SILVA,DE CASTRO
ALEX,FERAMIL,PATIO
NEPOMUCENO,PALAÑA,APARIS
ALVIN,,AGUILA
LEMIA,MALVEDA,AGUILA
FRANCO,TAN,AGUILA
ROUMEL,GRANTOZA,AGUILA
CARLOS,,DENSING
AURORA,HATAMOSA,DENSING
MARIA,,AGUID
ANGEL,,AGUERO
LEONILO,,AGUENZA
GUALCON,MAYUGA,AGUILA
REMEGIO,REYES,AGONCILLO
ANTONIO,ABURIDO,LIM
ROMULO,,DEPAS
JEREMIAS,,LIM
RODULFO,,DERAMA
LISO,,AGPAS
DOMINGO,,AGPAOAN
GILBERT,SACUROM,PERIAS
DEOGENES,ROMERO,DERAMA
BENITA,OMBROG,LIM
MUSSOLINI,BAGARRA,AGPALO
DAN,NERI,LIM
ESTEBAN,OBANDO,AGOY
PACITA,LINTAO,DERAY
VIRGILIO,LAGAZO,AGOTO
JESUS,NANTES,LIM
VICTORIANO,LAO,LIM
MORPHEUS,,AGOT
ROMEO,CATAHAY,OBANDO
RITCHEL,BAGNOL,LIM
LEONARDO,ANGELES,AGOR
BERNARDO,,MORA
EVANGELINA,NERI,DENOY
LILY,POND,DERLA
DIONISIO,,AGUDELO
EFREN,,AGUBO
JOVITO,,DEOCAMPO
MARILOU,LUSDOC,AGUAVIVA
MARLON,BATARAO,LIM
ANTONIO,PEÑA,PEREZ
ADRIAN MAC,REFOL,GREGORIO
JOSE,VALLEJERA,OBEDENCIO
VIVENCIO,VERGARA,DEOMAMPO
ROMEO,,DEOMANO
JERICHO,GENASKEY,AGUAS
HERBIE,BALQUIN,AGUAS
EFREN,GULMATICO,LIM
RODOLFO,,AGUILA
CLAYBORNE CLYDE,LIM,LIM
MA. FRITZIE,,AGUADO
BENEDICTO,,PEREZ
AGUSTIN,ZERRUDO,DEPAKAKIBO
CHRISTIAN,DIG,LIM
FRANCISCA,REBONG,AGUDO
MARLENE,MARQUEZ,OBEDOZA
AGNES,,PEREZ
ANTERO,SILOS,LIM
IMELDA,TOBIAS,AGUILAR
JOVEN,NAZARENO,AGUILAR
EDNA,ZANTUA,MORA
ANTONIO,,AGUILANDO
VALDEZ,,GREGORIO
RODULFO,ALIGATO,OBEN
GERMAN,AYSON,DEOSO
RICARDO,,DERRAMAS
DIONISIO,ELBORE,LIM
ALBERT,,AGPAWAN
ALAN,LABITAD,ADLAWAN
SAMUEL,SARNO,ADLAWAN
JULITO,TORALBA,DIASNES
WILFREDO,MARQUEZ,PESCADOR
ARMANDO,,LINGA
UNTING,AMEROL,DIATOR
EDILBERTO,SIMBAJON,ADLAON
RUFINO,GALO,ADLAON
VERONICO,DATOY,ADLAO
JESUS,MENDOZA,DIAZ
ROMEO,PASCUAL,LINGAD
GODOFREDO,MALANOG,ADO
GUILLERMO,,DIAO
NATHANIEL,,GRAJO
FRANCISCO,TEVES,DIAO
RASOL,,DIAMROD
HERMINIGILDO,MONZON,LINAJA
OLIVER,,ADRADA
BIBINA,,NURIDJAN
PACIFICO,JISON,ADORIO
EDITHA,,ADORABLE
NORBERTO,GUERRERO,LINAO
MERLOU,,ADORABLE
JAMALODIN,,DIANALAN
JOSE,,GRAGEDA
ZOSIMO,,ADOR
RAMON,VILLAREAL,DIANGSON
LEAH,MANINGCAY,ADONGAY
WILFREDO,CAMPOS,DIANO
ANDRES,,DIANTAN
NORMAN,DACUYCUY,AGONOY
OSEAS,INGEN,DIASEN
LAUREL,ZAPANTA,LINDO
FREDELINO,DALIRE,AGPULDO
SOLFERINO,A.,AGRA
BERNARDO,,DEPRA
LIBERTY,,LIM
ALBERT,,GREGORIO
MARIA LOURDES,,AGSALUD
MARIO,PENDRE,MENDOZA
REYNALDO,SOLEDAS,DEPASUCAT
JERRY,TIBURCIO,AGSALDA
LINA,BENSURTO,GREGORIO
REYNALDO,,OBBUS
RHEA RHENNA,HALINA,AGRIPO
WILLIAM,ORBINO,AGTARAP
ANGELINO,OLANO,MENDOZA
ROMMEL,,DIASEN
STEVEN,,AGRAVIADOR
ALEXANDER,MAAMBONG,AGRAVANTE
HERMENEGILDO,SALIVA,MENDOZA
GLORY,,AGRAVANTE
FEBIE,,DEPINA
NOEL,ALAMIL,AGRAVANTE
BENNY,MAGLASANG,AGRAVANTE
VIVIEN,GOMEZ,PERIA
JEAN,CASAMAYOR,AGRAVIADOR
FERNANDEZ,,LINGGAYO
VIRGINIA,BATALON,LIMEN
JOEL,ALOMBRO,PERPOSE
JUVENIL,CABRERA,LINAZA
MARIA,,ADLAWAN
CONRADO,CASTILLEJOS,LINDO
EDGARDO,AQUINO,AGRAVANTE
REAMCY MAR,GUZMAN,ADONG
RAQUELIZA,,AGAPITO
LILIA,ALCARAZ,AGBAYANI
FLOREPIS,,LLACUNA
JOSE RAMON,ONG,GORNEZ
ERNESTO,,LLACUNA
ALFREDO,LACSON,ABUEG
MARIA RHODA,,DILIDILI
EMMA,MONTEJO,ABUEVA
WILFREDO,,ALLAREY
WILFREDO,CRUZ,DIAZ
EDGARDO,PEÑASCOSA,DIAZ
RODRIGO,,PERLAS
ERNEST,ALBURO,DESCALLAR
ABDUL CADER,,LIMANO
MARCIAL,CUREG,AGGABAO
ROMEO,NICOLAS,AGGABAO
JESUS,,LLABORE
ERICK,,PERLAS
PRUDENCIO,,AGEAS
WILSON,REDILLAS,AGEAS
ALIMUSA,,LIMANO
MARLENE,CABANA,LIMBACO
FLORANTE,LUCAS,AGDUMA
RESTITUTO,RABANG,OANDASAN
EMMANUEL,SAMBRANO,AGDEPPA
ROMEO,,AGDAN
RICARDO,BAUTISTA,MENDOZA
AUDIE,QUINDIPAN,AGDAMAG
PABLITO,ALFERE,DESOASIDO
CATALINA,FALLORINA,AGDA
DANTE,,DESCALLAR
GUADALUPE,ARANCON,DESCALLAR
REYNALDO,OLANO,PERLAS
LETTY,MAGUIWE,LIM-ANG
FRANCISCO JOEL,JOEL,ABUEL
CASIANO,OYAO,DILAO
NICOMER,GO,ABUCEJO
ROLANDO,MATURAN,DILLERA
ANASTACIO,,LLAGAS
DIVEN,FOS,DIMAALA
EMMANUEL,REYES,PICASO
MAGDARA,ROMOROS,DIMAAMPAO
ROMMEL,BERNARDO,ABUBAKAR
SHALIBAR,,ABUBAKAR
EMILIANO,ESGUERRA,DIMAANDAL
CHRISTOPHER,HERNANDEZ,PICCIO
VINCENT,HERNANDEZ,PICCIO
RUFINA SOCORRO,BULACLAC,DIMAANO
MOZAR,,ABUBAKAR
ABIAR,JALALI,ABUBAKAR
ANTONIO,ALBUTRA,DILAO
KUSAIN,,ABUBAKAR
JONAS,BERNARDO,ABUDA
FELIPE,ROSALDO,ABUDA
ARNEL,,NUGUIT
FERNANDO,ESTRELLA,PIAO
JOSE A,,DILANCO
ALICIA,GUARINO,ABUNALES
MAMA,,DILANGALEN
NILO JESUS A,EREÑETA,LIZARES
ANTHONY,,LIZARES
ONOFRE,CRISTOBAL,GOROSPE
LETECIA,TILBE,ABUEZA
LADJAALAM,,NULSANI
LICERNA,ROMERICA,ABUNDA
DONNIE REY,MACUSI,PIAOAN
GLICERIA,,ABUDA
VICTORINO,RIVERA,AGBAYANI
ALEXANDER,FERNANDEZ,AGLIAM
JOSE NILO,EALDAMA,GRAZA
LUCITO,TACTACAN,AGARAN
MANOLO STEVE,,DEVELA
HERCLEO,TALADUA,LIMBOY
JESUS,FLORES,GRAPA
JUAN,RAMIREZ,DEVERATURDA
BAYANI,MATEO,AGAPITO
RODOLFO,HERRERA,AGAPITO
NORMAN,,AGATEP
ANGELITO,,AGAYON
NECITO,,AGBALOG
ANTONIO,,AGBAY
BAGON RACMAN,LIMPAO,PERMITES
DOMINGO,BATACAN,OANDASAN
ROBERTO,CALATAYUD,AGCAOILI
BENJAMIN,,AGARAO
ERLINDA,,LIMBO
EDISON,RAYMUNDO,AGCAOILI
ALEXANDER,DUGAN,DESTURA
DAVID,OCAMPO,AGCALIS
CLEOFE R,OTERO,DESUYO
INOCENCIO,,LIMBANG
AGUSTIN JESMAR,CHIONG,DESUYO
DANIEL,,AGBAYANI
DEOGRACIAS,,PERNITEZ
PRIMO,GULFERIC,GRATA
JOSEPHINE,MOLO,DETABLAN
RODOLFO,,AGBAYANI
VICTOR AGUEDO,,AGBAYANI
CHARLES,,AGBAYANI
PEDRO,CALINGASAN,AGBAYANI
AURELIO,DOMETITA,DESTACAMENTO
APPLE MARIE,ACAYLAR,AGOLONG
DANILO,IROZEDO,GRAPA
CORAZON,,AGARAP
MACARIO,GRIMALDO,PERILLA
SUNNY,,AGO
GERALDINE,RAFER,AGNO
HENRY,,OBALLES
PATRICIA,,AGNILA
LOURDES,,AGNES
ISIDRO,LOTOC,AGNER
RON,PLAZA,AGCOPRA
MANUEL,CRUZ,MENDOZA
VICENTE,,OBA
RANDY,DURAN,GRAZA
BERWASAN,CANDOY,AGMALIW
ALNER,,LIM RANOLA
LEOCADIO,CRUZ,MENDOZA
EDDIE,,PEROL
ISABELO,ZALAMEDA,AGLIPAY
RENE,,PERIODICO
MACARIO,ESCOVAR,PERJES
MOISES,FARONG-EY,AGMEYENG
GENEROSO,DETONING,DERRAMAS
ALBERT E,SALVANERA,PERMALINO
NEMESIO,BANAGODOS,DESOR
EULOGIO,FERNANDEZ,AGATEP
DIONISIO CYRUS,LAZARO,AGATEP
IRENEO,ARCEÑO,PEROCHO
ASNAWI,,LIMBONA
AURORA,FORCADO,DETICIO
WINIFREDO,ESTORBA,AGARPAO
ROLAND,FORCADO,DETICIO
JESUS,MENDENILLA,AGARAP
ORLANDO,QUIAMBAO,OANES
PAUL CHARLES,YANCHA,ADONA
THELMA,,ADOLFSSON
RICARDO,RAMOS,ADOLFO
JOEMARIE,,DE JUAN
EMMANUEL,,LAUREZO
ERNIE,LEBAJAN,ANTIPOLO
TARCISIO,TERAYTAY,ANTIPASADO
NERLI,,DE LA CENA
PROVO,BALATICO,ANTIPASADO
RENATO,GIMPAYA,LAURINARIA
ACMAD,MACARAMBON,ANTING
LEONIDAS,,DE LA CERNA
JERRY,,DE LA CERNA
ZALDY,DULA,LAURIO
CARLOS,ADRA,ANTE
MAY,,ANTE
GRACIANO,,DE LA CHICA
ANGELINA,,DE LA CRUZ
ANIANO,,OGDOC
SILAS,,LAURIO
ARMANDO,INFANTE,LAURO
JOSE,GOYAGOY,PATTAGUAN
EDGAR,ALIM,ANTAO
JOSE ROMEO,,DE LA CRUZ
WILFREDO,,DE LA CRUZ
ROMEO,,PAULINO
JACINTO,GUARNES,ANIMAS
VIRGINIA,D'LONSOD,ANIMAS
REYNALDO,ANILAO,ANILA
REYNALDO,,ANIL
MELCHOR,,DE LA CRUZ
CASIMIRA,SUYOM,DE LA CRUZ
KELIE MOHAMMAD,UGALINGAN,ANTAO
RICKY,MARASIGAN,LAVEGA
DEMETRIO,,DE LA CRUZ
DIONICIO,,DE LA CRUZ
JUAN,SALMORIN,ADVINCULA
RICHARD,MANANSALA,ADVINCULA
REYNALDO,NAVARRO,ADVINCULA
FAUSTO,,ADVINCULA
JAMHARI,NASRI,LIMPASAN
DANIEL,BATORIANO,PERVERA
MARIVIC,CAMINERO,DIAMANTE
ZALDY,ABITRIA,ADVINCULA
MARRIETTA,ROA,ABOGADO
MATIAS,TAN,DEFENSOR
FERDINAND,TOOL,ALLEN
RAMIR,,DE LA CRUZ
VIRGILIO,,DE LA CRUZ
ROGELIO,PARAISO,ANTALAN
JAZMIHAR,,ANNI
IMELDA,CHAKITON,PATTAGUAN
NOEMI,,ANSANO
FIDEL,,DE LA CRUZ
CESARIA,DINGDING,LAURON
DIONISIO,SULANGI,ANOVA
ILLUMINADO,,ANORA
JINO,,ANOOS
REMIGIO,AGNER,LAURON
LEONARDO,CANCEJO,PATTUNG
ANTONIETO,,ANONUEVO
ALBERTO,,ANONAT
CORNELIO,,ANOLING
ERASMO,,DE LA CRUZ
JOSE,GACHO,DE LA CRUZ
CEFERINO,,LAUS
ELNORA,,DE LA CRUZ
JOHN,DIAZ,ADVINCULA
EMMANUEL,,ANICO
CARMELA JOSEFA,REGULAR,LAVIDES
OSCAR,PEDRO,DE JUAN
LICERIO,ARELLANO,ANTIPORDA
FELY,,LAUDE
MANUEL,JALDO,AOYANG
BANGKI,,OGKA
ROMEO,,ANZALDO
MICHAEL,ASIS,ANZALDO
RODOLFO,GARALDE,GULADA
MARIO,,PATON-OG
ANECITO,PALMA,MESA
HERNANI,CANJA,GULA
LEONARDO,CASTILLO,ANYAYAHAN
RAMON,FRIGILLANA,LAUDENCIA
JOSEPH VOLTAIRE,GALIAS,DE HITTA
JESUSA,,LAURETA
EDUARDO,PENA,DE HITTA
REDENTOR,OBLIGA,MESA
GERARDO,RIOS,ANTOY
FLORENDO,LOJA,LAUNIO
RODULFO,TRUMATA,LAURE
VILMA,,PATRICIO
JUAN,CORDIAL,APA
DENNIS,SOBREVIÑAS,APACIBLE
JERRY,GABISAY,APACIBLE
VIRGILIO,PANGILINAN,GULAPA
SOFRONIO,CAVERTE,APAT
EULOGIO C M,CLARENCE,DE GUZMAN
IRENEO,,APASAN
JOSE ANTONIO,,APARTE
BEBIANO,,APARRE
HENRY,GASCON,ANUNCIACION
VICENTE,,DE LA CRUZ
PEDRO,TEWAJA,ANLAP
JULIAN,,LAVADIA
MARCELINO,BOMLARDA,DE LA CRUZ
GLORELE,,PAULINO
RICHARD,,DE LA CRUZ
SERAFIN,,DE LA CRUZ
PACIFICO,,ANIAG
SALUSTIANA,HERNANDEZ,ANI
ALFONSO,,ANGYA
NOE,GAVINO,LAVANDERO
GENARO,,ANIMAY
FELIX,,ANINAG
ROQUE,BAGANG,PAULE
WILSON,SANGKULA,ANNI
SHADENHAR,HALUD,ANNI
ALMA,,ANINO
ROMY,SIMLANI,ANNI
JOSELITO,GASCO,MERO
ROMEO,MIRANDA,PATULOT
FRANCISCO,,DE LA CRUZ
DEMOSTHENES,,PATUN-OG
ERWIN,LACSON,LAUSIN
NOEL,BELLO,PATRIMONIO
RICAREDO,,PAUBSANON
BENJAMIN,,ANLAP
JHEMAR,,ANJAWANG
LARRY JOSE,SARION,LAUSINGCO
AMADOR,PELEA,ANISCO
JOSE VLADIMIR,,LAVA
EXPEDITO,SECRETO,ANIPAN
JOVITA,,ANINON
REYNALDO,,DE LA CRUZ
EUSEBIO,,ADVINCULA
VICTORIO,SABULANA,ADVINCULA
ALEX,LACSON,ADVINCULA
TERESITO,LAYUG,LINGAD
NURHUSIN,,ADIL
OMBRA,,ADIL
VALERIO,,ADIGUE
DIOSDADO,,LINGAD
ELENA,TANIÑAS,ADIGUE
CELSA,BEDIORES,ADIER
EFREN,CERCADO,LINGAT
MAMOLI-AMOL,,ADIAD
NELSON,GALANG,LINGAT
LAARNI,HABULAN,ADIA
MARLON,ATIENZA,PESEBRE
GUILLERMO,,ADDUN
PEDRO,,ADDUG
LACSASA,MAPONDO,ADIONG
AKMAD,SALAZAR,NUR
KATHERINE,CARTABIO,AGAPAY
ANDRES,ANDALLO,ADRIATICO
VINCENT,SATURNO,LIMSON
ROWENA,,AFRICA
ANTHONY,ESPALDON,AFOS
IGNACIO,FERWA,AFIDCHAO
ABUBAKAR,ABDULKARIM,AFDAL
AKMAD,GUIAMIL,AFDAL
GLENN,,AFAN
HERNANDO,MEJORADA,GRANADEROS
WILHELMINA,,OABE
ED,GALLARDO,AFALLA
JESUS,RABARA,LIMOS
EFREN,NIFAS,LIMOS
JERRY,,LINGARO
SALATIEL,SIMYUNN,DIALO
MAMINTAL,ALONTO,ADIONG
SILVINO MARIA,,ADIZAS
LISANDRO KIM,GUIUAN,ADOLFO
VALENTE,ONG,ADOLFO
MILAGROS,,DIANCO
ANGELO,LIBREA,ADRIANO
PHILIP,MONEDA,ADLAO
VICENTE,ABELLO,PESCANTE
BERNABE,DASSIL,ADAY
DOMINADOR,POTENCIOSO,PESIAO
REMEDIOS,AGUSTIN,ADAVAN
MARIANO,PEPITO,DIAZ
RAYMUND,MARTINEZ,DIAZ
JUSSAC,OLVIS,ADARO
JUDE,BASAN,DIAZ
ROMEO,,ADARLO
MA. NENA VICTORIA,,DIAZ
MEL,IGNACIO,DIAZ
CESAR,ALSONG,DIAZ
ARIEL,TORRELINO,DIAZ
EDWIN,MARQUEZ,LINGCASO
TEODORO,ASEDILLO,ADAO
MARCELO,,ADANZA
LOURDES,BANTAYA,ADANZA
GEMMA,FLORANTE,ADANA
NARCISO,RAGUDO,GRAFILO
ALEJANDRINO,REAL,ADAME
AVELINO,PAGSIAT,ADAYA
JULITO,UY,DIAZ
PERLA,LINDO,ADAZA
DELFIN,,GRAGASIN
ROSARIO,,DIAZ
HENEDINA,BALASI,AFAGA
MUSTAPHA,POLAO,DIAMAEL
ROGELIO,ESTRADA,LIMOS
PUTUH,,ADUL
OMAR,PANDAPATAN,DIAMLA
MANAP,,DIAMLA
GILBERT,AGALOOS,ADUCA
ANGELITO,OLANO,MENDOZA
JAMES,,ADUCA
LEO,CABUEÑAS,ADUANA
LEONIDA,,LIMPINGCO
RANULFO,BOMEDIANO,LIMQUIMBO
VIVIAN,SERRANO,MORADA
GERALDINE,PEROY,PESAYCO
EARL,NICOLAS,DIAMPOC
CEDRIC,,ADRIATICO
ANDREMOORE,,LIMSIACO
LABI,TOCALO,DIAMLA
JORGE,PEROY,PESAYCO
MACALAWAN,,DIAMLA
FRANCISCO,FLOTELDES,ADUVISO
VICENTE,MANLADAS,LIMPIADO
WILFRED,,ADVIENTO
